material_id,material_name,strength,weight_capacity,cost,biodegradability_score,co2_score,recyclability_percentage
1,Corrugated Cardboard,2,15,4,7,4,85
2,Corrugated Cardboard (Heavy),3,22,6,6,5,80
3,Kraft Paper (Light),1,5,2,9,3,95
4,Kraft Paper (Standard),2,10,3,8,3,90
5,Molded Pulp,2,12,4,10,2,100
6,Molded Pulp (Reinforced),3,18,5,9,2,95
7,PLA Bioplastic,3,16,7,6,6,60
8,PLA Bioplastic (Thin),2,10,6,7,5,50
9,Sugarcane Bagasse,2,14,4,9,3,90
10,Sugarcane Bagasse (Dense),3,20,5,8,3,85
11,Mushroom Packaging (Standard),2,10,6,10,2,80
12,Mushroom Packaging (Light),1,6,5,10,1,100
13,Recycled PET (rPET),3,25,7,1,6,95
14,Recycled PET (Light),2,15,5,1,5,90
15,Bamboo Composite,3,30,8,7,4,70
16,Bamboo Fiber,2,18,6,8,3,75
17,Cornstarch Foam,1,4,3,9,3,65
18,Cornstarch Packing Peanuts,1,2,2,10,2,100
19,Coconut Coir,3,28,7,8,3,80
20,Seaweed Film,1,3,8,10,1,100
21,Hemp Fiber Board,3,35,7,8,3,75
22,Standard Glass,3,50,5,1,8,20
23,Aluminum Sheet,3,40,6,1,9,28
24,Recycled HDPE,3,30,5,1,6,30
25,Stone Paper,2,12,6,3,5,40
26,Palm Leaf Plate,2,8,4,10,2,100
27,Beechwood Veneer,3,25,9,7,4,80
28,Wheat Straw Board,2,16,4,9,3,85
29,Mycelium Foam,1,5,6,10,1,100
30,Jute Sacks,3,45,5,10,2,95
31,Edible Milk Protein Film,1,1,9,10,2,100
32,Recycled Cardboard,2,14,3,7,4,88
33,Virgin Kraft Paper,2,11,4,6,5,65
34,Bioplastic (Potato Starch),2,10,6,8,4,55
35,Recycled PP,3,32,5,1,7,85
36,Textile Waste Felt,2,15,3,5,5,60
37,Areca Leaf,2,9,4,10,2,100
38,Banana Leaf,1,3,2,10,1,100
39,Water Hyacinth Board,2,13,4,9,3,70
40,Pineapple Leaf Fiber,2,14,6,8,3,60
41,Chitin (Shellfish) Film,1,4,8,10,2,40
42,Recycled Steel Tin,3,60,6,1,9,99
43,Expanded Starch Foam,1,3,3,9,3,20
44,Pressed Hay,2,12,2,9,2,80
45,Recycled Newsprint Pulp,2,8,2,8,4,90
46,Waxed Paper (Soy Wax),1,6,4,8,5,40
47,Cellophane (Wood Pulp),1,4,5,9,4,0
48,Cork Stopper,2,10,7,9,2,100
49,Rubber Wood Crate,3,55,6,6,4,50
50,Cassava Bag,1,5,5,10,3,40
